"30-Jun-2024","CA-2026-000100","Fixed on 30-Jun-2024 - estimated length (in hours): 03:00","Not assigned","Not assigned","Not assigned","Central Civil Court dated 22-Sep-2024","Cardiff","CA-2026-000100","ALPHA HOLDINGS LIMITED","v IOTA PROPERTY HOLDINGS","Appeal","from the order of Sir Foxtrot Golf","Stay of execution and other orders","07-Sep-2026","","Awaiting a Judicial decision on the papers","","","","","","","",""
"12-Apr-2024","CA-2026-000101","Fixed on 12-Apr-2024 - estimated length (in hours): 07:00","Not assigned","Not assigned","Not assigned","Central Civil Court dated 22-Sep-2024","","CA-2026-000101","DELTA CARE SERVICES LIMITED","v IOTA PROPERTY HOLDINGS","Permission to Appeal","from the order of HHJ Alpha","Stay of execution and other orders","07-Sep-2026","","Awaiting a Judicial decision on the papers","10-Jul-2025: Case file passed to Case Management","01-Mar-2024: Application referred to Lord/Lady Justice","12-Jan-2024: Application allowed on paper by Lord/Lady Justice","20-Oct-2024: Case Stood Out","","","",""
"12-Apr-2024","CA-2026-000102","Fixed on 12-Apr-2024 - estimated length (in hours): 09:00","Not assigned","Not assigned","Not assigned","Family Court dated 15-Feb-2023","London","CA-2026-000102","SMITH","v KAPPA INSURANCE LIMITED","Appeal","from the order of Mrs Justice Echo","Stay of execution and other orders","07-Sep-2026","Allowed on 12-Apr-2024","Awaiting a hearing - see Hearing Status","12-Jan-2024: Application allowed on paper by Lord/Lady Justice","15-May-2025: Case passed to List Office","01-Mar-2024: Application referred to Lord/Lady Justice","10-Jul-2025: Case file passed to Case Management","","","",""
"","CA-2026-000103","Hear By 21-Jun-2027","Not assigned","Not assigned","Not assigned","County Court dated 10-Jan-2024","Cardiff","CA-2026-000103","ALPHA HOLDINGS LIMITED","v SAMPLE REGULATORY BODY","Appeal","from the order of Circuit Judge HHJ India","Stay of execution and other orders","07-Sep-2026","Dismissed on 03-Mar-2025","Awaiting bundles and/or documents from applicant's solicitors","12-Jan-2024: Application allowed on paper by Lord/Lady Justice","01-Mar-2024: Application referred to Lord/Lady Justice","15-May-2025: Case passed to List Office","","","","",""
"30-Jun-2024","CA-2026-000104","Fixed on 30-Jun-2024 - estimated length (in hours): 04:00","Not assigned","Not assigned","Not assigned","Family Court dated 15-Feb-2023","Cardiff","CA-2026-000104","DELTA CARE SERVICES LIMITED","v IOTA PROPERTY HOLDINGS","Permission to Appeal","from the order of Circuit Judge HHJ India","Permission to appeal and a stay of execution","07-Sep-2026","Dismissed on 03-Mar-2025","Awaiting bundles and/or documents from applicant's solicitors","10-Jul-2025: Case file passed to Case Management","12-Jan-2024: Application allowed on paper by Lord/Lady Justice","20-Oct-2024: Case Stood Out","15-May-2025: Case passed to List Office","","","",""
"08-Feb-2023","CA-2026-000105","Fixed on 08-Feb-2023 - estimated length (in hours): 06:00","Not assigned","Not assigned","Not assigned","Family Court dated 15-Feb-2023","London","CA-2026-000105","SMITH","v THETA SERVICES LTD","Appeal","from the order of Sir Foxtrot Golf","Permission to appeal and a stay of execution","07-Sep-2026","Judgment reserved (CAV) on 08-Feb-2023","Awaiting listing","01-Mar-2024: Application referred to Lord/Lady Justice","10-Jul-2025: Case file passed to Case Management","12-Jan-2024: Application allowed on paper by Lord/Lady Justice","15-May-2025: Case passed to List Office","","","",""
"05-Jul-2023","CA-2026-000106","Fixed on 05-Jul-2023 - estimated length (in hours): 02:00","Not assigned","Not assigned","Not assigned","County Court dated 10-Jan-2024","Cardiff","CA-2026-000106","SIGMA FINANCE PLC","v MU DEVELOPMENTS LTD","Permission to Appeal","from the order of Mrs Justice Echo","application to reopen","07-Sep-2026","Judgment reserved (CAV) on 08-Feb-2023","Awaiting a hearing - see Hearing Status","20-Oct-2024: Case Stood Out","15-May-2025: Case passed to List Office","12-Jan-2024: Application allowed on paper by Lord/Lady Justice","","","","",""
"12-Apr-2024","CA-2026-000107","Fixed on 12-Apr-2024 - estimated length (in hours): 08:00","Not assigned","Not assigned","Not assigned","County Court dated 10-Jan-2024","","CA-2026-000107","EPSILON RETAIL GROUP LTD","v KAPPA INSURANCE LIMITED","Appeal","from the order of HHJ Hotel","application to reopen","07-Sep-2026","Dismissed on 03-Mar-2025","Awaiting a hearing - see Hearing Status","01-Mar-2024: Application referred to Lord/Lady Justice","","","","","","",""
"05-Jul-2023","CA-2026-000108","Fixed on 05-Jul-2023 - estimated length (in hours): 09:00","Not assigned","Not assigned","Not assigned","Commercial Court dated 01-Apr-2022","","CA-2026-000108","SMITH","v EXAMPLE BOROUGH COUNCIL","Permission to Appeal","from the order of HHJ Hotel","Permission to appeal and a stay of execution","07-Sep-2026","Dismissed on 03-Mar-2025","Awaiting a Judicial decision on the papers","10-Jul-2025: Case file passed to Case Management","","","","","","",""
"08-Feb-2023","CA-2026-000109","Fixed on 08-Feb-2023 - estimated length (in hours): 03:00","Not assigned","Not assigned","Not assigned","Family Court dated 15-Feb-2023","Cardiff","CA-2026-000109","DELTA CARE SERVICES LIMITED","v THETA SERVICES LTD","Permission to Appeal","from the order of Recorder C Charlie KC","Permission to appeal and a stay of execution","07-Sep-2026","Judgment reserved (CAV) on 08-Feb-2023","Awaiting a hearing - see Hearing Status","01-Mar-2024: Application referred to Lord/Lady Justice","","","","","","",""
